id,question,chat_history,expected_answer,expected_sources
1,Hello! I have no electricity in my room. What can I do?,[],"Please report the problem via your mybase area. If it is an urgent technical emergency outside phone hours, email emergency@viennabase.at with the problem description, your name, your Viennabase and room number, and your phone number.",faq
2,Ich habe keine Strom im Zimmer. Was kann ich tun?,[],"Bitte melde das Problem ueber deinen mybase-Bereich. Wenn es ein dringender technischer Notfall ausserhalb der Telefonzeiten ist, schreibe an emergency@viennabase.at und sende Beschreibung, Namen, Viennabase mit Zimmernummer und Telefonnummer.",faq
3,Es ist aber ein Notfall,"[{""role"": ""user"", ""content"": ""Ich habe keine Strom im Zimmer. Was kann ich tun?""}, {""role"": ""assistant"", ""content"": ""Bitte informiere uns ueber deinen mybase-Bereich. Unser Haustechniker kuemmert sich schnellstmoeglich darum.\n\nFalls es sich um einen technischen Notfall ausserhalb unserer Telefonzeiten handelt, sagt der vorliegende Kontext leider nicht genau, was du dann tun sollst.""}]","Bei einem dringenden technischen Notfall ausserhalb der Telefonzeiten sollst du an emergency@viennabase.at schreiben und Beschreibung, Namen, Viennabase mit Zimmernummer und Telefonnummer senden. Bearbeitet werden nur dringende Notfaelle.",faq
4,Ich moechte morgen ausziehen. Bekomme ich meine Kaution zurueck?,[],"Die Kaution wird erst nach dem Auszug und nach dem Ende deines Vertrags auf dein Konto ueberwiesen. Endreinigungsgebuehr, Schaeden oder offene Forderungen koennen abgezogen werden oder die Rueckzahlung verzoegern.",faq
5,Ich habe also keine Kuendigungsfrist?,"[{""role"": ""user"", ""content"": ""Ich moechte morgen ausziehen. Bekomme ich meine Kaution zurueck?""}, {""role"": ""assistant"", ""content"": ""Ja, grundsaetzlich bekommst du die Kaution nach Auszug und nach Ende deines Vertrages auf dein Konto zurueckueberwiesen.\n\nDabei gilt laut den verfuegbaren Informationen:\n\n• Schaeden im Zimmer oder in der Wohnung koennen die Rueckzahlung verzoegern.\n• Von der Kaution wird die Endreinigungsgebuehr abgezogen.\n• Eventuelle offene finanzielle Verpflichtungen gegenueber Viennabase werden ebenfalls beruecksichtigt.\n\nFuer die Rueckueberweisung sollst du ausserdem ueber deinen mybase-Bereich:\n\n• deine Bankdaten,""}]","Doch, es gibt feste Kuendigungszeitpunkte. Wenn du bis Ende November kuendigst, kannst du Ende Februar ausziehen. Wenn du bis Ende April kuendigst, kannst du Ende Juni oder Juli ausziehen.",faq | AGBs.pdf
6,Wann ist die Heimleitung da?,[],no context,
7,Ich moechte meine Vertrag verlaengern,[],"Du kannst die Verlaengerung ueber deinen mybase-Bereich beantragen. Fuer das naechste Studienjahr musst du die Einverstaendniserklaerung spaetestens bis 15. Maerz schicken. Eine Verlaengerung ist nur moeglich, wenn du noch studierst und keine offenen Zahlungen hast.",faq | AGBs.pdf | Heimstatut.pdf
8,Darf Viennabase mein Zimmer betreten?,[],"Ja. Nach rechtzeitiger Vorankuendigung darf Viennabase dein Zimmer zur Kontrolle von Zustand, Sauberkeit oder Inventar betreten. Bei Gefahr im Verzug oder fuer notwendige Reparaturen ist ein Betreten auch ohne Vorankuendigung erlaubt.",Heimstatut.pdf
9,Wie und wo erhalte ich meine Schluessel?,[],"Den Schluessel bekommst du in deiner Viennabase am 1. Werktag des Einzugsmonats von 14:00 bis 15:30 Uhr. Faellt der Monatsbeginn auf ein Wochenende oder einen Feiertag, bekommst du ihn am naechsten Werktag. Du musst einen Lichtbildausweis mitbringen.",faq
10,Kann ich am Abend einziehen? Mein Flug kommt erst sehr spaet an.,[],no context,
11,Ich moechte in ein anderes Zimmer ziehen.,[],"Ein Umzug in ein anderes Zimmer oder in eine andere Viennabase ist moeglich. Du musst den Umzugswunsch schriftlich ueber deinen mybase-Bereich beantragen. Wenn etwas frei ist, bekommst du ein Umzugsangebot.",faq | AGBs.pdf
12,Wieviel kostet das?,"[{""role"": ""user"", ""content"": ""Ich moechte in ein anderes Zimmer ziehen.""}, {""role"": ""assistant"", ""content"": ""Ja, ein Umzug in ein anderes Zimmer bzw. eine andere Base ist moeglich. Bitte melde deinen Umzugswunsch ueber deinen mybase-Bereich. Wenn ein Zimmer verfuegbar ist, erhaeltst du von uns ein Umzugsangebot.""}]",no context,
13,Gibt es aktuell freie Zimmer?,[],no context,
14,Wie ist die Emailadresse von Viennabase?,[],Die allgemeine E-Mail-Adresse ist office@viennabase.at.,AGBs.pdf
15,Wann ist das Buero geoeffnet?,[],no context,
16,Wie breit ist die Matratze in meinem Zimmer?,[],no context,
17,Wer ist die heimleitung in der Viennabase donau?,[],no context,
18,Ist der Umzug gratis?,[],Nein. Laut Quellen gibt es eine Umzugsgebuehr.,AGBs.pdf
19,Wie funktioniert das waschen?,[],no context,
20,Ich habe einen Vertrag ab September? Bekomme ich meine Kaution zurueck wenn ich jetzt storniere?,[],"Das haengt davon ab, wie lange es noch bis zum Vertragsbeginn ist: mehr als 60 Tage vor Beginn bekommst du die Kaution abzüglich Buchungs-/Bearbeitungsgebuehr zurueck, zwischen 60 und 30 Tagen vor Beginn wird zusaetzlich ein monatliches Benutzungsentgelt einbehalten, und weniger als 30 Tage vor Beginn bleibt die gesamte Kaution bei Viennabase.",faq | AGBs.pdf | Heimstatut.pdf
21,Wie muss ich stornieren?,[],Der Ruecktritt bzw. die Stornierung muss schriftlich erfolgen.,AGBs.pdf | Heimstatut.pdf
22,Gibt es in den Zimmern Geschirr?,[],"Nein. Laut FAQ sollst du Glaeser, Teller, Geschirr, Kochutensilien und Besteck selbst mitbringen.",faq
23,Gibt es Bettwaesche?,"[{""role"": ""user"", ""content"": ""Gibt es in den Zimmern Geschirr?""}, {""role"": ""assistant"", ""content"": ""Ja. Laut den Informationen zum Einzug solltest du selbst das Noetigste mitbringen, darunter Glaeser, Teller, Geschirr, Kochutensilien und Besteck. Das spricht dafuer, dass diese Dinge nicht automatisch im Zimmer vorhanden sind.\n\nWenn du moechtest, kann ich dir auch die komplette Mitbring-Liste kurz zusammenfassen.""}]","Nein. Laut FAQ sollst du Bettwaesche, Hand- und Badetuecher, Polster und Decke selbst mitbringen.",faq
24,Kann ich meine Mitbewohner selbst aussuchen?,[],no context,
25,Darf ich meine Katze mitnehmen?,[],Tiere sind nur fuer Studierende der Vetmed und nur mit vorheriger schriftlicher Genehmigung der Heimverwaltung erlaubt. Ausserdem ist Tierhaltung nur in bestimmten Zimmerkategorien moeglich.,Heimstatut.pdf
26,Und Hunde?,"[{""role"": ""user"", ""content"": ""Darf ich meine Katze mitnehmen?""}, {""role"": ""assistant"", ""content"": ""Das Halten von Tieren ist nur fuer Studierende der Vetmed und nur mit vorheriger schriftlicher Genehmigung durch die Heimverwaltung gestattet. Ausserdem ist es nur in bestimmten Zimmerkategorien moeglich.\n\nWenn du nicht Vetmed studierst oder keine Genehmigung hast, darfst du deine Katze laut den verfuegbaren Informationen nicht einfach mitnehmen.""}]",Tiere sind nur fuer Studierende der Vetmed und nur mit vorheriger schriftlicher Genehmigung der Heimverwaltung erlaubt. Ausserdem ist Tierhaltung nur in bestimmten Zimmerkategorien moeglich.,Heimstatut.pdf
27,Und Schlangen?,"[{""role"": ""user"", ""content"": ""Darf ich meine Katze mitnehmen?""}, {""role"": ""assistant"", ""content"": ""Das Halten von Tieren ist nur fuer Studierende der Vetmed und nur mit vorheriger schriftlicher Genehmigung durch die Heimverwaltung gestattet. Ausserdem ist es nur in bestimmten Zimmerkategorien moeglich.\n\nWenn du nicht Vetmed studierst oder keine Genehmigung hast, darfst du deine Katze laut den verfuegbaren Informationen nicht einfach mitnehmen.""}, {""role"": ""user"", ""content"": ""Und Hunde?""}, {""role"": ""assistant"", ""content"": ""Hunde sind nach den verfuegbaren Informationen genauso wie andere Tiere nur fuer Studierende der Vetmed und nur mit vorheriger schriftlicher Genehmigung der Heimverwaltung erlaubt. Ausserdem ist das nur in bestimmten Zimmerkategorien moeglich.\n\nWenn du nicht Vetmed studierst oder keine Genehmigung hast, darfst du deinen Hund nicht einfach mitbringen.""}]",Tiere sind nur fuer Studierende der Vetmed und nur mit vorheriger schriftlicher Genehmigung der Heimverwaltung erlaubt. Ausserdem ist Tierhaltung nur in bestimmten Zimmerkategorien moeglich.,Heimstatut.pdf
