id,question,chat_history
1,Hello! I have no electricity in my room. What can I do?,[]
"2,Ich habe keine Strom im Zimmer. Was kann ich tun?,[],""Bitte informiere uns ueber deinen mybase-Bereich. Unser Haustechniker kuemmert sich schnellstmoeglich darum.\n\nFalls es sich um einen technischen Notfall ausserhalb unserer Telefonzeiten handelt, sagt der vorliegende Kontext leider nicht genau, was du dann tun sollst."",https://viennabase.at/faq/ [faq],ok;",,
"3,Es ist aber ein Notfall,""[{""""role"""": """"user"""", """"content"""": """"Ich habe keine Strom im Zimmer. Was kann ich tun?""""}, {""""role"""": """"assistant"""", """"content"""": """"Bitte informiere uns ueber deinen mybase-Bereich. Unser Haustechniker kuemmert sich schnellstmoeglich darum.\n\nFalls es sich um einen technischen Notfall ausserhalb unserer Telefonzeiten handelt, sagt der vorliegende Kontext leider nicht genau, was du dann tun sollst.""""}]"",""Wenn es sich um einen technischen Notfall ausserhalb unserer Telefonzeiten handelt, sagt der vorliegende Kontext leider nicht genau, was du dann tun sollst.\n\nWenn du magst, kann ich dir helfen, die bisherige Meldung kurz zu formulieren — oder du beschreibst mir den Notfall genauer."",https://viennabase.at/faq/ [faq],bad;",,
"4,Ich moechte morgen ausziehen. Bekomme ich meine Kaution zurueck?,[],""Ja, grundsaetzlich bekommst du die Kaution nach Auszug und nach Ende deines Vertrages auf dein Konto zurueckueberwiesen.\n\nDabei gilt laut den verfuegbaren Informationen:\n\n• Schaeden im Zimmer oder in der Wohnung koennen die Rueckzahlung verzoegern.\n• Von der Kaution wird die Endreinigungsgebuehr abgezogen.\n• Eventuelle offene finanzielle Verpflichtungen gegenueber Viennabase werden ebenfalls beruecksichtigt.\n\nFuer die Rueckueberweisung sollst du ausserdem ueber deinen mybase-Bereich:\n\n• deine Bankdaten,"",,good;",,
"5,Ich habe also keine Kuendigungsfrist?,""[{""""role"""": """"user"""", """"content"""": """"Ich moechte morgen ausziehen. Bekomme ich meine Kaution zurueck?""""}, {""""role"""": """"assistant"""", """"content"""": """"Ja, grundsaetzlich bekommst du die Kaution nach Auszug und nach Ende deines Vertrages auf dein Konto zurueckueberwiesen.\n\nDabei gilt laut den verfuegbaren Informationen:\n\n• Schaeden im Zimmer oder in der Wohnung koennen die Rueckzahlung verzoegern.\n• Von der Kaution wird die Endreinigungsgebuehr abgezogen.\n• Eventuelle offene finanzielle Verpflichtungen gegenueber Viennabase werden ebenfalls beruecksichtigt.\n\nFuer die Rueckueberweisung sollst du ausserdem ueber deinen mybase-Bereich:\n\n• deine Bankdaten,""""}]"",""Laut den verfuegbaren Informationen gibt es doch eine Kuendigungsfrist bzw. Kuendigungszeitpunkte:\n\n• Kuendigung bis Ende April → Auszug per Ende Juni oder Juli\n• Kuendigung bis Ende November → Auszug per Ende Februar\n\nFuer einen fruehzeitigen Auszug sollst du deinen Kuendigungswunsch ueber den mybase-Bereich senden.\n\nOb das eine allgemeine Kuendigungsfrist im rechtlichen Sinn ist, geht aus der Quelle nicht eindeutig hervor."",https://viennabase.at/faq/ [faq],good;",,
"6,Wann ist die Heimleitung da?,[],""In den verfuegbaren Quellen finde ich keine verlaessliche Angabe zu den genauen Anwesenheits- oder Buerozeiten der Heimleitung.\n\nWas ich nur sicher sagen kann:\n\n• Schadensbehebungen durch die Haustechniker*innen finden waehrend der ueblichen Dienstzeiten statt\n• Eine Anwesenheit der Heimleitung zu bestimmten Zeiten wird im vorliegenden Kontext nicht genannt\n\nWenn du moechtest, kann ich dir helfen, den Kontext noch gezielt auf andere Hinweise zur Heimleitung zu pruefen."",data/Heimstatut.pdf [Heimstatut],bad;",,
"7,Ich moechte meine Vertrag verlaengern,[],""Du kannst deine Vertragsverlaengerung fuer das naechste Studienjahr ganz einfach ueber deinen mybase-Bereich beantragen, indem du uns deine Einverstaendniserklaerung schickst – also deinen Wunsch auf Verlaengerung und die Zusendung eines Angebotes.\n\nWichtig:\n\n• Frist: spaetestens 15. Maerz des aktuellen Studienjahres\n• Eine Verlaengerung ist in der Regel moeglich, solange du noch Student/in bist\n• Wenn du mit Zahlungen im Rueckstand bist und/oder nicht mehr studierst, ist eine Verlaengerung leider nicht moeglich\n\nWenn du moechtest, kann ich dir auch helfen, die Formulierung fuer die Anfrage zu schreiben."",https://viennabase.at/faq/ [faq] | data/AGBs.pdf [AGBs] | data/Heimstatut.pdf [Heimstatut],good;",,
"8,Darf Viennabase mein Zimmer betreten?,[],""Aus den verfuegbaren Quellen kann ich dazu keine zuverlaessige Antwort geben. Es steht nur, dass die Heimverwaltung fuer bestimmte Aenderungen schriftlich zustimmen muss und dass Besucher*innen bestimmte Raeume nicht benuetzen duerfen. Ob und wann Viennabase dein Zimmer betreten darf, wird in den vorliegenden Informationen nicht स्पष्ट geregelt."",data/Heimstatut.pdf [Heimstatut] | https://viennabase.at/faq/ [faq],bad;",,
"9,Wie und wo erhalte ich meine Schluessel?,[],""Du bekommst deinen Schluessel bei der Schluesselabholung in deiner Viennabase.\n\n• Wann: am 1. Werktag des Einzugsmonats von 14:00 bis 15:30 Uhr\n• Wenn der 1. des Monats auf ein Wochenende faellt: dann am darauffolgenden Montag\n• Wo: in deiner Viennabase\n• Wichtig: Du musst einen Lichtbildausweis mitbringen\n• Am Wochenende werden keine Schluessel ausgegeben\n\nWenn du den Schluessel nicht persoenlich abholen kannst, kann auch eine Person deines Vertrauens kommen. Dafuer braucht sie einen Lichtbildausweis und du musst uns vorher ueber deinen mybase-Bereich den Namen und die Erlaubnis zur Aushaendigung schicken."",https://viennabase.at/faq/ [faq],good;",,
"10,Kann ich am Abend einziehen? Mein Flug kommt erst sehr spaet an.,[],""Dazu habe ich in den verfuegbaren Informationen keine verlaessliche Angabe gefunden.\n\nAus dem vorhandenen Kontext geht nur hervor, wann die Schluessel abgeholt werden koennen:\n\n• am 1. Werktag des Einzugsmonats von 14:00 bis 15:30 Uhr\n• wenn der 1. auf ein Wochenende faellt, dann am darauffolgenden Montag\n• am Wochenende keine Schluesselausgabe\n\nOb ein Einzug am Abend moeglich ist, wird im verfuegbaren Material nicht ausdruecklich beschrieben. Wenn du moechtest, kann ich dir helfen, die vorhandenen Infos zur Schluesselabholung noch genauer einzuordnen."",https://viennabase.at/faq/ [faq],ok;",,
